Array Size,Time
10,1.1e-06
50,5e-06
100,1.11e-05
500,7.74e-05
1000,0.0001591
5000,0.0012292
10000,0.0030455
50000,0.0140295
100000,0.0306795
500000,0.206999
1000000,0.581281
