Array Size,Time
10,5.5e-06
50,2.76e-05
100,4.53e-05
500,0.0003036
1000,0.0004325
5000,0.0022502
10000,0.00462
50000,0.0307997
100000,0.0656989
500000,0.403955
1000000,0.78629
