Array Size,Time
10,2.9e-06
50,7e-06
100,1.13e-05
500,5.04e-05
1000,9.39e-05
5000,0.0004963
10000,0.0009731
50000,0.0052903
100000,0.0095186
500000,0.051936
1000000,0.105716
