Array Size,Time
10,7e-07
50,3.2e-06
100,7.4e-06
500,4.47e-05
1000,0.0001093
5000,0.0006395
10000,0.0014038
50000,0.0085215
100000,0.0190202
500000,0.101819
1000000,0.201735
