Array Size,Time
10,1.52e-05
50,1.12e-05
100,3.75e-05
500,0.0001502
1000,0.0003012
5000,0.0011665
10000,0.0019721
50000,0.0095687
100000,0.019943
500000,0.142289
1000000,0.342239
